q-crq|vbz Who's
d that
, ,
cc and
vvb unyoke
. .
uh Marry
, ,
av now
pns11 I
vmb can
vvi tell
. .
p-acp|pn31 To't
. .
n1 Mass
, ,
pns11 I
vmbx cannot
vvi tell
. .
vvb Cudgel
po21 thy
n2 brains
av-dx no
dc more
p-acp about
pn31 it
, ,
p-acp for
po22 your
j dull
n1 ass
vmb will
xx not
vvi mend
po31 his
n1 pace
pp with
vvg beating
; ;
cc and
, ,
c-crq when
pn22 you
vbb are
vvn asked
d this
n1 question
ord next
, ,
vvb say
“ “
dt a
n1 grave-maker
: :
” ”
dt the
n2 houses
pns31 he
vvz makes
vvz lasts
p-acp till
n1 doomsday
. .
vvb Go
, ,
vvb get
pno21 thee
p-acp in
cc and
vvb fetch
pno11 me
dt a
n1 stoup
pp-f of
n1 liquor
. .
p-acp In
n1 youth
, ,
c-crq when
pns11 I
vdd did
vvi love
, ,
vdd did
vvi love
, ,
vvd Methought
pn31 it
vbd was
av very
j sweet
, ,
pc-acp To
vvi contract
— —
uh O
— —
dt the
n1 time
p-acp for
— —
dt a
— —
po11 my
n1 behoove
, ,
uh O
, ,
vvd methought
, ,
a-acp there
— —
dt a
— —
vbd was
pix nothing
— —
dt a
— —
j meet
. .
vhz Has
d this
n1 fellow
dx no
n-vvg feeling
pp-f of
po31 his
n1 business
, ,
pns31 'a
vvz sings
p-acp in
n1 grave-making
? ?
n1 Custom
vhz hath
vvn made
pn31 it
p-acp in
pno31 him
dt a
n1 property
pp-f of
n1 easiness
. .
pn31|vbz 'Tis
av-j e'en
av so
: :
dt the
n1 hand
pp-f of
j little
n1 employment
vhz hath
dt the
jc daintier
n1 sense
. .
cc-acp But
n1 age
, ,
pp with
po31 his
j-vvg stealing
n2 steps
, ,
vhz Hath
vvn clawed
pno11 me
p-acp in
po31 his
n1 clutch
, ,
cc And
vhz hath
vvn shipped
pno11 me
pp into
dt the
n1 land
, ,
c-acp As
cs if
pns11 I
vhd had
av-x never
vbn been
d such
. .
d That
n1 skull
vhd had
dt a
n1 tongue
p-acp in
pn31 it
, ,
cc and
vmd could
vvi sing
a-acp once
: :
c-crq how
dt the
n1 knave
vvz jowls
pn31 it
p-acp to
dt the
n1 ground
, ,
c-acp as
cs if
pn31|vbd 'twere
npg1 Cain's
n1 jaw-bone
, ,
d that
vdd did
dt the
ord first
n1 murder
! !
d This
vmd might
vbi be
dt the
n1 pate
pp-f of
dt a
n1 politician
, ,
r-crq which
d this
n1 ass
av now
vvz o'erreaches
; ;
pi one
cst that
vmd would
vvi circumvent
np1 God
, ,
vmd might
pn31 it
xx not
? ?
pn31 It
vmd might
, ,
po11 my
n1 lord
. .
cc Or
pp-f of
dt a
n1 courtier
; ;
r-crq which
vmd could
vvi say
“ “
j Good
n1 morrow
, ,
j sweet
n1 lord
! !
q-crq How
vd2 dost
pns21 thou
, ,
j sweet
n1 lord
? ?
” ”
d This
vmd might
vbi be
po11 my
n1 lord
n1 such-a-one
, ,
cst that
vvd praised
po11 my
n1 lord
ng1 such-a-one's
n1 horse
, ,
c-crq when
pns31 'a
vvd meant
pc-acp to
vvi beg
pn31 it
; ;
vmd might
pn31 it
xx not
? ?
uh Ay
, ,
po11 my
n1 lord
. .
uh-crq Why
, ,
av-j e'en
av so
: :
cc and
av now
po11 my
n1 Lady
ng1 Worm's
; ;
j chapless
, ,
cc and
vvn knocked
p-acp about
dt the
n1 mazzard
pp with
dt a
ng1 sexton's
n1 spade
: :
av|vbz here's
j fine
n1 revolution
, ,
cs an
pns12 we
vhd had
dt the
n1 trick
pc-acp to
vvi|pn31 see't
. .
vdd Did
d these
n2 bones
vvi cost
av-dx no
av-dc more
dt the
n-vvg breeding
, ,
cc-acp but
pc-acp to
vvi play
pp at
n2 loggats
pp with
pno32 'em
? ?
po11 mine
vvb ache
pc-acp to
vvi think
p-acp|pn31 on't
. .
dt A
n1 pick-axe
, ,
cc and
dt a
n1 spade
, ,
dt a
n1 spade
, ,
p-acp For
cc and
dt a
j-vvg shrouding
n1 sheet
: :
uh O
, ,
dt a
n1 pit
pp-f of
n1 clay
p-acp for
pc-acp to
vbi be
vvn made
p-acp For
d such
dt a
n1 guest
vbz is
j meet
. .
pc-acp|vbz There's
j-jn another
: :
q-crq why
vmb may
xx not
d that
vbi be
dt the
n1 skull
pp-f of
dt a
n1 lawyer
? ?
q-crq Where
vbb be
po31 his
n2 quiddities
av now
, ,
po31 his
n2 quillities
, ,
po31 his
n2 cases
, ,
po31 his
n2 tenures
, ,
cc and
po31 his
n2 tricks
? ?
q-crq why
vdz does
pns31 he
vvi suffer
d this
j mad
n1 knave
av now
pc-acp to
vvi knock
pno31 him
p-acp about
dt the
n1 sconce
pp with
dt a
j dirty
n1 shovel
, ,
cc and
vmb will
xx not
vvi tell
pno31 him
pp-f of
po31 his
n1 action
pp-f of
n1 battery
? ?
uh Hum
! !
d This
n1 fellow
vmd might
vbi be
p-acp|po31 in's
n1 time
dt a
j great
n1 buyer
pp-f of
n1 land
, ,
pp with
po31 his
n2 statutes
, ,
po31 his
n2 recognizances
, ,
po31 his
n2 fines
, ,
po31 his
j double
n2 vouchers
, ,
po31 his
n2 recoveries
: :
vbz is
d this
dt the
n1 fine
pp-f of
po31 his
n2 fines
, ,
cc and
dt the
n1 recovery
pp-f of
po31 his
n2 recoveries
, ,
pc-acp to
vhi have
po31 his
j fine
n1 pate
j full
pp-f of
j fine
n1 dirt
? ?
vmb will
po31 his
n2 vouchers
vvi vouch
pno31 him
av-dx no
dc more
pp-f of
po31 his
n2 purchases
, ,
cc and
j double
pi2 ones
av too
, ,
cs than
dt the
n1 length
cc and
n1 breadth
pp-f of
dt a
n1 pair
pp-f of
n2 indentures
? ?
dt The
j very
n2 conveyances
pp-f of
po31 his
n2 lands
vmb will
av-j scarcely
vvi lie
p-acp in
d this
n1 box
; ;
cc and
vmb must
dt the
n1 inheritor
px31 himself
vhb have
av-dx no
av-dc more
, ,
uh ha
? ?
xx Not
dt a
n1 jot
av-dc more
, ,
po11 my
n1 lord
. .
vbz Is
xx not
n1 parchment
vvn made
pp-f of
n2 sheep-skins
? ?
uh Ay
, ,
po11 my
n1 lord
, ,
cc and
pp-f of
n2 calf-skins
av too
. .
pns32 They
vbb are
n1 sheep
cc and
n2 calves
r-crq which
vvb seek
av out
n1 assurance
p-acp in
d that
. .
pns11 I
vmb will
vvi speak
p-acp to
d this
n1 fellow
. .
q-crq Whose
n1|vbz grave's
d this
, ,
n1 sirrah
? ?
png11 Mine
, ,
n1 sir
. .
uh O
, ,
dt a
n1 pit
pp-f of
n1 clay
p-acp for
pc-acp to
vbi be
vvn made
p-acp For
d such
dt a
n1 guest
vbz is
j meet
. .
pns11 I
vvb think
pn31 it
vbb be
po21 thine
, ,
av indeed
; ;
p-acp for
pns21 thou
vv2 liest
p-acp|pn31 in't
. .
pn22 You
vvb lie
av out
p-acp|pn31 on't
, ,
n1 sir
, ,
cc and
av therefore
pn31|vbz 'tis
xx not
png22 yours
: :
p-acp for
po11 my
n1 part
, ,
pns11 I
vdb do
xx not
vvi lie
p-acp|pn31 in't
, ,
av yet
pn31 it
vbz is
png11 mine
. .
pns21 Thou
vd2 dost
vvi lie
p-acp|pn31 in't
, ,
pc-acp to
vbi be
p-acp|pn31 in't
cc and
vvb say
pn31 it
vbz is
po21 thine
: :
pn31|vbz 'tis
p-acp for
dt the
j dead
, ,
xx not
p-acp for
dt the
j quick
; ;
av therefore
pns21 thou
vv2 liest
. .
pn31|vbz 'Tis
dt a
j quick
n1 lie
, ,
n1 sir
; ;
pn31|vmb 'twill
av away
av again
, ,
pp from
pno11 me
p-acp to
pn22 you
. .
q-crq What
n1 man
vd2 dost
pns21 thou
vvi dig
pn31 it
p-acp for
? ?
p-acp For
dx no
n1 man
, ,
n1 sir
. .
q-crq What
n1 woman
, ,
av then
? ?
p-acp For
pix none
, ,
av-dx neither
. .
q-crq Who
vbz is
pc-acp to
vbi be
vvn buried
p-acp|pn31 in't
? ?
pi One
cst that
vbd was
dt a
n1 woman
, ,
n1 sir
; ;
cc-acp but
, ,
vvb rest
po31 her
n1 soul
, ,
pns31|vbz she's
j dead
. .
c-crq How
j absolute
dt the
n1 knave
vbz is
! !
pns12 we
vmb must
vvi speak
p-acp by
dt the
n1 card
, ,
cc or
n1 equivocation
vmb will
vvi undo
pno12 us
. .
p-acp By
dt the
n1 Lord
, ,
np1 Horatio
, ,
d this
crd three
n2 years
pns11 I
vhb have
vvn took
n1 note
pp-f of
pn31 it
; ;
dt the
n1 age
vbz is
vvn grown
av so
vvn picked
cst that
dt the
n1 toe
pp-f of
dt the
n1 peasant
vvz comes
av so
av-j near
dt the
n1 heel
pp-f of
dt the
n1 courtier
, ,
pns31 he
vvz galls
po31 his
n1 kibe
. .
q-crq How
av-j long
vh2 hast
pns21 thou
vbn been
n1 grave-maker
? ?
pp-f Of
d all
dt the
n2 days
p-acp i'
dt the
n1 year
, ,
pns11 I
vvd came
p-acp|pn31 to't
d that
n1 day
cst that
po12 our
ord last
n1 king
np1 Hamlet
vvd overcame
np1 Fortinbras
. .
q-crq How
av-j long
vbz is
d that
a-acp since
? ?
vmbx Cannot
pn22 you
vvi tell
d that
? ?
d every
n1 fool
vmb can
vvi tell
d that
: :
pn31 it
vbd was
d that
j very
n1 day
cst that
j young
np1 Hamlet
vbd was
vvn born
; ;
pns31 he
cst that
vbz is
j mad
, ,
cc and
vvn sent
pp into
np1 England
. .
uh Ay
, ,
vvb marry
, ,
q-crq why
vbd was
pns31 he
vvn sent
pp into
np1 England
? ?
q-crq Why
, ,
c-acp because
pns31 'a
vbd was
j mad
: :
pns31 'a
vmb shall
vvi recover
po31 his
n2 wits
a-acp there
; ;
cc or
, ,
cs if
pns31 'a
vdb do
xx not
, ,
pn31|vbz 'tis
dx no
j great
n1 matter
a-acp there
. .
q-crq Why
? ?
pn31|vmb 'Twill
xx not
vbi be
vvn seen
p-acp in
pno31 him
a-acp there
; ;
pc-acp there
dt the
n2 men
vbb are
a-acp as
j mad
c-acp as
pns31 he
. .
q-crq How
vvd came
pns31 he
j mad
? ?
av Very
av-j strangely
, ,
pns32 they
vvb say
. .
q-crq How
av-j strangely
? ?
n1 Faith
, ,
av-j e'en
pp with
vvg losing
po31 his
n2 wits
. .
p-acp Upon
q-crq what
n1 ground
? ?
uh-crq Why
, ,
av here
p-acp in
np1 Denmark
: :
pns11 I
vhb have
vbn been
n1 sexton
av here
, ,
n1 man
cc and
n1 boy
, ,
crd thirty
n2 years
. .
q-crq How
av-j long
vmb will
dt a
n1 man
vvi lie
p-acp i'
dt the
n1 earth
c-acp ere
pns31 he
vvb rot
? ?
n1 Faith
, ,
cs if
pns31 'a
vbb be
xx not
vvn rotten
c-acp before
pns31 'a
vvb die
c-acp as
pns12 we
vhb have
d many
j pocky
n2 corses
cst that
vmb will
av-j scarce
vvi hold
dt the
n-vvg laying
p-acp in
pns31 'a
vmb will
vvi last
pn22 you
d some
crd eight
n1 year
cc or
crd nine
n1 year
: :
dt a
n1 tanner
vmb will
vvi last
pn22 you
crd nine
n1 year
. .
q-crq Why
pns31 he
av-dc more
cs than
j-jn another
? ?
uh-crq Why
, ,
n1 sir
, ,
po31 his
n1 hide
vbz is
av so
vvn tanned
pp with
po31 his
n1 trade
, ,
cst that
pns31 'a
vmb will
vvi keep
av out
n1 water
dt a
j great
n1 while
; ;
cc and
po22 your
n1 water
vbz is
dt a
j sore
n1 decayer
pp-f of
po22 your
n1 whoreson
j dead
n1 body
. .
av|vbz Here's
dt a
n1 skull
av now
; ;
vhz hath
vvn lien
pn22 you
p-acp i'
dt the
n1 earth
crd three
cc and
crd twenty
n2 years
. .
q-crq Whose
vbd was
pn31 it
? ?
dt A
n1 whoreson
j mad
ng1 fellow's
pn31 it
vbd was
: :
q-crq whose
vdb do
pn22 you
vvi think
pn31 it
vbd was
? ?
uh Nay
, ,
pns11 I
vvb know
xx not
. .
dt A
n1 pestilence
p-acp on
pno31 him
p-acp for
dt a
j mad
n1 rogue
! !
pns31 'a
vvd poured
dt a
n1 flagon
pp-f of
jp Rhenish
p-acp on
po11 my
n1 head
a-acp once
. .
d This
d same
n1 skull
, ,
n1 sir
, ,
vbd was
, ,
n1 sir
, ,
npg1 Yorick's
n1 skull
, ,
dt the
ng1 king's
n1 jester
. .
d This
? ?
av-j E'en
d that
. .
uh Alas
, ,
j poor
np1 Yorick
! !
pns11 I
vvd knew
pno31 him
, ,
np1 Horatio
: :
dt a
n1 fellow
pp-f of
j infinite
n1 jest
, ,
pp-f of
ds most
j excellent
n1 fancy
: :
pns31 he
vhz hath
vvd bore
pno11 me
p-acp on
po31 his
n1 back
dt a
crd thousand
n2 times
; ;
cc and
av now
, ,
c-crq how
vvn abhorred
p-acp in
po11 my
n1 imagination
pn31 it
vbz is
! !
po11 my
n1 gorge
vvz rises
pp at
pn31 it
. .
av Here
vvd hung
d those
n2 lips
cst that
pns11 I
vhb have
vvn kissed
pns11 I
vvb know
xx not
c-crq how
av oft
. .
q-crq Where
vbb be
po22 your
n2 gibes
av now
? ?
po22 your
n2 gambols
? ?
po22 your
n2 songs
? ?
po22 your
n2 flashes
pp-f of
n1 merriment
, ,
cst that
vbd were
j wont
pc-acp to
vvi set
dt the
n1 table
p-acp on
dt a
n1 roar
? ?
xx Not
pi one
av now
, ,
pc-acp to
vvi mock
po22 your
d own
n-vvg grinning
? ?
av quite
j chap-fallen
? ?
av Now
vvb get
pn22 you
p-acp to
po11 my
ng1 lady's
n1 chamber
, ,
cc and
vvb tell
pno31 her
, ,
vvb let
pno31 her
vvi paint
dt an
n1 inch
j thick
, ,
p-acp to
d this
n1 favour
pns31 she
vmb must
vvi come
; ;
vvb make
po31 her
vvi laugh
pp at
d that
. .
uh-v Prithee
, ,
np1 Horatio
, ,
vvb tell
pno11 me
crd one
n1 thing
. .
q-crq|vbz What's
d that
, ,
po11 my
n1 lord
? ?
vd2 Dost
pns21 thou
vvi think
np1 Alexander
vvd looked
pp-f a'
d this
n1 fashion
p-acp i'
dt the
n1 earth
? ?
av-j E'en
av so
. .
cc And
vvd smelt
av so
? ?
uh pah
! !
av-j E'en
av so
, ,
po11 my
n1 lord
. .
p-acp To
q-crq what
j base
n2 uses
pns12 we
vmb may
vvi return
, ,
np1 Horatio
! !
q-crq Why
vmb may
xx not
n1 imagination
vvi trace
dt the
j noble
n1 dust
pp-f of
np1 Alexander
, ,
c-acp till
pns31 'a
vvb find
pn31 it
vvg stopping
dt a
n1 bung-hole
? ?
pn31|vbd 'Twere
pc-acp to
vvi consider
av too
av-j curiously
, ,
pc-acp to
vvi consider
av so
. .
uh-dx No
, ,
n1 faith
, ,
xx not
dt a
n1 jot
; ;
cc-acp but
pc-acp to
vvi follow
pno31 him
av thither
pp with
n1 modesty
av-d enough
, ,
cc and
n1 likelihood
pc-acp to
vvi lead
pn31 it
: :
np1 Alexander
vvd died
, ,
np1 Alexander
vbd was
vvn buried
, ,
np1 Alexander
vvz returneth
pc-acp to
n1 dust
; ;
dt the
n1 dust
vbz is
n1 earth
; ;
pp-f of
n1 earth
pns12 we
vvb make
n1 loam
; ;
cc and
c-crq why
pp-f of
d that
n1 loam
, ,
c-crq whereto
pns31 he
vbd was
vvn converted
, ,
vmd might
pns32 they
xx not
vvi stop
dt a
n1 beer-barrel
? ?
j Imperious
np1 Caesar
, ,
j dead
cc and
vvn turned
p-acp to
n1 clay
, ,
vmd Might
vvi stop
dt a
n1 hole
pc-acp to
vvi keep
dt the
n1 wind
av away
: :
uh O
, ,
cst that
d that
n1 earth
, ,
r-crq which
vvd kept
dt the
n1 world
p-acp in
n1 awe
, ,
vmd Should
vvi patch
dt a
n1 wall
pc-acp to
vvi expel
dt the
ng1 winter's
n1 flaw
! !
cc-acp But
j soft
! !
cc-acp but
j soft
av awhile
: :
av here
vvz comes
dt the
n1 king
, ,
dt The
n1 queen
, ,
dt the
n2 courtiers
: :
q-crq who
vbz is
d this
pns32 they
vvb follow
? ?
cc And
pp with
d such
j-vvn maimed
n2 rites
? ?
d This
vdz doth
vvi betoken
dt The
n1 corse
pns32 they
vvb follow
vdd did
pp with
j desperate
n1 hand
vvi Fordo
pn31 it
d own
n1 life
: :
pn31|vbd 'twas
pp-f of
d some
n1 estate
. .
vvb Couch
pns12 we
av awhile
cc and
vvb mark
. .
q-crq What
n1 ceremony
av else
? ?
d That
vbz is
np1 Laertes
, ,
dt a
av very
j noble
n1 youth
, ,
vvb mark
. .
q-crq What
n1 ceremony
av else
? ?
po31 Her
n2 obsequies
vhb have
vbn been
a-acp as
av-j far
vvn enlarged
c-acp As
pns12 we
vhb have
n1 warranty
: :
po31 her
n1 death
vbd was
j doubtful
; ;
cc And
, ,
cc-acp but
d that
j great
n1 command
vvz o'ersways
dt the
n1 order
, ,
pns31 She
vmd should
p-acp in
n1 ground
j unsanctified
vbn been
vvn lodged
p-acp Till
dt the
ord last
n1 trumpet
; ;
p-acp for
j charitable
n2 prayers
, ,
n2 Shards
, ,
n2 flints
cc and
n2 pebbles
vmd should
vbi be
vvn thrown
p-acp on
pno31 her
: :
av Yet
av here
pns31 she
vbz is
vvn allowed
po31 her
n1 virgin
n2 crants
, ,
po31 Her
n1 maiden
n2 strewments
cc and
dt the
vvg bringing
av-an home
pp-f Of
n1 bell
cc and
n1 burial
. .
vmb Must
a-acp there
av-dx no
av-dc more
vbi be
vdn done
? ?
av-dx No
av-dc more
vbb be
vdn done
: :
pns12 We
vmd should
vvi profane
dt the
n1 service
pp-f of
dt the
j dead
pc-acp To
vvi sing
dt a
n1 requiem
cc and
d such
n1 rest
p-acp to
pno31 her
c-acp As
p-acp to
j peace-parted
n2 souls
. .
vvb Lay
pno31 her
p-acp i'
dt the
n1 earth
: :
cc And
pp from
po31 her
j fair
cc and
j unpolluted
n1 flesh
vmb May
n2 violets
vvi spring
! !
pns11 I
vvb tell
pno21 thee
, ,
j churlish
n1 priest
, ,
dt A
j-vvg ministering
n1 angel
vmb shall
po11 my
n1 sister
vbi be
, ,
c-crq When
pns21 thou
vv2 liest
vvg howling
. .
q-crq What
, ,
dt the
j fair
np1 Ophelia
! !
n2-j Sweets
p-acp to
dt the
j sweet
: :
uh-n farewell
! !
pns11 I
vvd hoped
pns21 thou
vmd2 shouldst
vhi have
vbn been
po11 my
npg1 Hamlet's
n1 wife
; ;
pns11 I
vvd thought
po21 thy
n1 bride-bed
pc-acp to
vhi have
vvn decked
, ,
j sweet
n1 maid
, ,
cc And
xx not
vhi have
vvn strewed
po21 thy
n1 grave
. .
uh O
, ,
n1 treble
n1 woe
vvb Fall
crd ten
n2 times
n1 treble
p-acp on
d that
j-vvn cursed
n1 head
, ,
r-crq Whose
j wicked
n1 deed
po21 thy
av-ds most
j ingenious
n1 sense
vvd Deprived
pno21 thee
pp-f of
! !
vvb Hold
a-acp off
dt the
n1 earth
av awhile
, ,
c-acp Till
pns11 I
vhb have
vvn caught
pno31 her
a-acp once
av-dc more
p-acp in
po11 mine
n2 arms
: :
av Now
vvb pile
po22 your
n1 dust
p-acp upon
dt the
j quick
cc and
j dead
, ,
c-acp Till
pp-f of
d this
n1 flat
dt a
n1 mountain
pn22 you
vhb have
vvn made
, ,
pc-acp To
vvi o'ertop
j old
np1 Pelion
, ,
cc or
dt the
j skyish
n1 head
pp-f Of
j-jn blue
np1 Olympus
. .
q-crq What
vbz is
pns31 he
r-crq whose
n1 grief
vvz Bears
d such
dt an
n1 emphasis
? ?
r-crq whose
n1 phrase
pp-f of
n1 sorrow
vvz Conjures
dt the
j-vvg wandering
n2 stars
, ,
cc and
vvz makes
pno32 them
vvi stand
av-j Like
j wonder-wounded
n2 hearers
? ?
d This
vbz is
pns11 I
, ,
np1 Hamlet
dt the
np1 Dane
. .
dt The
n1 devil
vvb take
po21 thy
n1 soul
! !
pns21 Thou
vv2 pray'st
xx not
av well
. .
pns11 I
uh-v prithee
, ,
vvb take
po21 thy
n2 fingers
pp from
po11 my
n1 throat
; ;
p-acp For
, ,
c-acp though
pns11 I
vbm am
xx not
j splenitive
cc and
j rash
, ,
av Yet
vhb have
pns11 I
p-acp in
pno11 me
pi something
j dangerous
, ,
r-crq Which
vvb let
po21 thy
n1 wisdom
vvi fear
: :
vvb hold
a-acp off
po21 thy
n1 hand
. .
vvb Pluck
pno32 them
av asunder
. .
np1 Hamlet
, ,
np1 Hamlet
! !
n2 Gentlemen
, ,
j Good
po11 my
n1 lord
, ,
vbb be
j-jn quiet
. .
uh-crq Why
, ,
pns11 I
vmb will
vvi fight
pp with
pno31 him
p-acp upon
d this
n1 theme
c-acp Until
po11 my
n2 eyelids
vmb will
av-dx no
jc longer
vvi wag
. .
uh O
po11 my
n1 son
, ,
q-crq what
n1 theme
? ?
pns11 I
vvd loved
np1 Ophelia
: :
crd forty
crd thousand
n2 brothers
vmd Could
xx not
, ,
pp with
d all
po32 their
n1 quantity
pp-f of
n1 love
, ,
vvb Make
a-acp up
po11 my
n1 sum
. .
q-crq What
vm2 wilt
pns21 thou
vdi do
p-acp for
pno31 her
? ?
uh O
, ,
pns31 he
vbz is
j mad
, ,
np1 Laertes
. .
p-acp For
n1 love
pp-f of
np1 God
, ,
vvb forbear
pno31 him
. .
uh 'Swounds
, ,
vvb show
pno11 me
r-crq what
pns21|vm2 thou'lt
vdb do
: :
vm2 Woo't
vvi weep
? ?
vm2 woo't
vvi fight
? ?
vm2 woo't
av-j fast
? ?
vm2 woo't
vvi tear
px21 thyself
? ?
vm2 Woo't
vvb drink
a-acp up
n1 eisel
? ?
vvb eat
dt a
n1 crocodile
? ?
pns11|vmb I'll
vdi|pn31 do't
. .
vd2 Dost
pns21 thou
vvi come
av here
pc-acp to
vvi whine
? ?
pc-acp To
vvi outface
pno11 me
pp with
vvg leaping
p-acp in
po31 her
n1 grave
? ?
vbb Be
vvn buried
j quick
pp with
pno31 her
, ,
cc and
av so
vmb will
pns11 I
: :
cc And
, ,
cs if
pns21 thou
vvb prate
pp-f of
n2 mountains
, ,
vvb let
pno32 them
vvi throw
crd Millions
pp-f of
n2 acres
p-acp on
pno12 us
, ,
c-acp till
po12 our
n1 ground
, ,
vvg Singeing
po31 his
n1 pate
pp against
dt the
j-vvg burning
n1 zone
, ,
vvb Make
np1 Ossa
av-j like
dt a
n1 wart
! !
uh Nay
, ,
cs an
pns21|vm2 thou'lt
n1 mouth
, ,
pns11|vmb I'll
vvi rant
a-acp as
av well
c-acp as
pns21 thou
. .
d This
vbz is
j mere
n1 madness
: :
cc And
av thus
av awhile
dt the
n1 fit
vmb will
vvi work
p-acp on
pno31 him
; ;
av Anon
, ,
a-acp as
j patient
c-acp as
dt the
j-jn female
n1 dove
, ,
c-crq When
cst that
po31 her
j golden
n2 couplets
vbb are
vvn disclosed
, ,
po31 His
n1 silence
vmb will
vvi sit
vvg drooping
. .
vvb Hear
pn22 you
, ,
n1 sir
; ;
q-crq What
vbz is
dt the
n1 reason
cst that
pn22 you
vvb use
pno11 me
av thus
? ?
pns11 I
vvd loved
pn22 you
av ever
: :
cc-acp but
pn31 it
vbz is
dx no
n1 matter
; ;
vvb Let
np1 Hercules
px31 himself
vdb do
r-crq what
pns31 he
vmb may
, ,
dt The
n1 cat
vmb will
vvi mew
cc and
n1 dog
vmb will
vhi have
po31 his
n1 day
. .
pns11 I
vvb pray
pno21 thee
, ,
j good
np1 Horatio
, ,
vvb wait
p-acp upon
pno31 him
. .
vvb Strengthen
po22 your
n1 patience
p-acp in
po12 our
ord last
ng1 night's
n1 speech
; ;
pns12|vmb We'll
vvi put
dt the
n1 matter
p-acp to
dt the
j present
n1 push
. .
j Good
np1 Gertrude
, ,
vvb set
d some
n1 watch
p-acp over
po22 your
n1 son
. .
d This
n1 grave
vmb shall
vhi have
dt a
j-vvg living
n1 monument
: :
dt An
n1 hour
pp-f of
j-jn quiet
av-j shortly
vmb shall
pns12 we
vvi see
; ;
p-acp Till
av then
, ,
p-acp in
n1 patience
po12 our
n-vvg proceeding
vbb be
. .
av So
av-d much
p-acp for
d this
, ,
n1 sir
: :
av now
vmb shall
pn22 you
vvi see
dt the
n-jn other
; ;
pn22 You
vdb do
vvi remember
d all
dt the
n1 circumstance
? ?
vvb Remember
pn31 it
, ,
po11 my
n1 lord
! !
n1 Sir
, ,
p-acp in
po11 my
n1 heart
pc-acp there
vbd was
dt a
n1 kind
pp-f of
vvg fighting
, ,
cst That
vmd would
xx not
vvi let
pno11 me
vvi sleep
: :
vvd methought
pns11 I
vvd lay
av-jc Worse
cs than
dt the
n2 mutines
p-acp in
dt the
n2 bilboes
. .
av-j Rashly
, ,
cc And
vvn praised
vbb be
n1 rashness
p-acp for
pn31 it
, ,
vvb let
pno12 us
vvi know
, ,
po12 Our
n1 indiscretion
av sometime
vvz serves
pno12 us
av well
, ,
c-crq When
po12 our
j-jn deep
n2 plots
vdb do
vvi pall
: :
cc and
d that
vmd should
vvi learn
pno12 us
pc-acp|vbz There's
dt a
n1 divinity
cst that
vvz shapes
po12 our
n2 ends
, ,
vvb Rough-hew
pno32 them
c-crq how
pns12 we
vmb will
, ,
d That
vbz is
av-ds most
j certain
. .
a-acp Up
pp from
po11 my
n1 cabin
, ,
po11 My
n1 sea-gown
vvn scarfed
p-acp about
pno11 me
, ,
p-acp in
dt the
j dark
vvd Groped
pns11 I
pc-acp to
vvi find
av out
pno32 them
; ;
vhd had
po11 my
n1 desire
, ,
vvd Fingered
po32 their
n1 packet
, ,
cc and
p-acp in
j fine
vvd withdrew
p-acp To
po11 mine
d own
n1 room
av again
; ;
vvg making
av so
j bold
, ,
po11 My
n2 fears
vvg forgetting
n2 manners
, ,
pc-acp to
vvi unseal
po32 Their
j grand
n1 commission
; ;
c-crq where
pns11 I
vvd found
, ,
np1 Horatio
, ,
uh Ah
, ,
j royal
n1 knavery
! !
— —
dt an
j exact
n1 command
, ,
vvn Larded
pp with
d many
j several
n2 sorts
pp-f of
n2 reasons
vvg Importing
npg1 Denmark's
n1 health
cc and
npg1 England's
av too
, ,
pp With
uh ho
! !
d such
n2 bugs
cc and
n2 goblins
p-acp in
po11 my
n1 life
, ,
d That
, ,
p-acp on
dt the
vvb supervise
, ,
dx no
n1 leisure
vvn bated
, ,
uh-dx No
, ,
xx not
pc-acp to
vvi stay
dt the
n-vvg grinding
pp-f of
dt the
n1 axe
, ,
po11 My
n1 head
vmd should
vbi be
vvn struck
a-acp off
. .
vbz|pn31 Is't
j possible
? ?
av|vbz Here's
dt the
n1 commission
: :
vvb read
pn31 it
pp at
dc more
n1 leisure
. .
cc-acp But
vm2 wilt
pns21 thou
vvi hear
av now
c-crq how
pns11 I
vdd did
vvi proceed
? ?
pns11 I
vvb beseech
pn22 you
. .
vbg Being
av thus
vvn be-netted
j round
pp with
n2 villainies
— —
cc Or
pns11 I
vmd could
vvi make
dt a
n1 prologue
p-acp to
po11 my
n2 brains
, ,
pns32 They
vhd had
vvn begun
dt the
n1 play
— —
pns11 I
vvd sat
pno11 me
a-acp down
, ,
vvn Devised
dt a
j new
n1 commission
, ,
vvd wrote
pn31 it
j fair
: :
pns11 I
a-acp once
vdd did
vvi hold
pn31 it
, ,
c-acp as
po12 our
n2 statists
vdb do
, ,
dt A
n1 baseness
pc-acp to
vvi write
j fair
cc and
vvd laboured
av-d much
c-crq How
pc-acp to
vvi forget
d that
n1 learning
, ,
cc-acp but
, ,
n1 sir
, ,
av now
pn31 It
vdd did
pno11 me
ng1 yeoman's
n1 service
: :
vm2 wilt
pns21 thou
vvi know
dt The
n1 effect
pp-f of
r-crq what
pns11 I
vvd wrote
? ?
uh Ay
, ,
j good
po11 my
n1 lord
. .
dt An
j earnest
n1 conjuration
pp from
dt the
n1 king
, ,
c-acp As
np1 England
vbd was
po31 his
j faithful
n-jn tributary
, ,
